,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
46,Rikitea,-23.1203,-134.9692,77.65,74,100,9.01,PF,1610196926
47,Laguna,38.421,-121.4238,41.0,87,1,3.44,US,1610196926
48,Bengkulu,-3.8004,102.2655,77.49,83,100,4.7,ID,1610196927
49,Airai,-8.9266,125.4092,63.66,100,100,1.61,TL,1610196927
50,Acaraú,-2.8856,-40.12,85.77,62,100,16.69,BR,1610196928
51,Vaini,-21.2,-175.2,77.0,94,20,3.44,TO,1610196928
52,Butaritari,3.0707,172.7902,81.68,78,100,22.17,KI,1610196929
53,Flin Flon,54.7682,-101.865,-5.8,84,1,2.3,CA,1610196929
54,Cape Town,-33.9258,18.4232,78.01,57,40,16.11,ZA,1610196727
55,East London,-33.0153,27.9116,87.8,58,0,13.8,ZA,1610196789
56,San Cristobal,7.7669,-72.225,73.4,100,75,2.3,VE,1610196930
57,Bloemfontein,-29.1211,26.214,71.6,73,20,12.66,ZA,1610196931
58,Narsaq,60.9167,-46.05,42.8,36,75,20.71,GL,1610196931
59,Saint-Pierre,-21.3393,55.4781,84.2,70,20,24.16,RE,1610196932
60,Qaqortoq,60.7167,-46.0333,42.8,36,75,20.71,GL,1610196932
61,São João da Barra,-21.6403,-41.0511,82.4,78,40,4.61,BR,1610196933
62,Lavrentiya,65.5833,-171.0,-12.6,83,0,4.23,RU,1610196933
63,Whitianga,-36.8333,175.7,63.0,93,100,1.01,NZ,1610196696
64,Lima,-12.0432,-77.0282,69.8,83,90,5.75,PE,1610196934
65,Pesaro,43.9036,12.8903,42.01,70,75,13.8,IT,1610196934
66,Vila Velha,-20.3297,-40.2925,86.0,70,40,13.8,BR,1610196935
67,Atuona,-9.8,-139.0333,76.89,71,73,19.82,PF,1610196935
68,Jamestown,42.097,-79.2353,19.99,93,1,5.75,US,1610196637
69,Hwange,-18.3693,26.5019,89.15,53,83,1.39,ZW,1610196936
70,Kazachinskoye,57.6953,93.2761,-2.36,91,100,6.76,RU,1610196937
71,Leningradskiy,69.3833,178.4167,-21.06,82,0,3.49,RU,1610196937
72,Hilo,19.7297,-155.09,69.8,73,75,4.61,US,1610196938
73,Tiksi,71.6872,128.8694,-19.55,88,100,10.98,RU,1610196939
74,Oranjemund,-28.55,16.4333,69.51,68,6,18.97,NA,1610196939
75,Erechim,-27.6342,-52.2739,77.0,69,0,9.22,BR,1610196939
76,Geraldton,-28.7667,114.6,77.0,73,100,13.8,AU,1610196940
77,Jalu,29.0331,21.5482,80.55,20,0,1.48,LY,1610196940
78,Saint-Philippe,-21.3585,55.7679,84.2,70,20,24.16,RE,1610196941
79,Santa Fe,-31.6333,-60.7,75.99,63,100,5.01,AR,1610196941
80,Tutóia,-2.7619,-42.2744,86.0,66,20,19.57,BR,1610196942
81,Mar del Plata,-38.0023,-57.5575,73.99,72,0,6.91,AR,1610196943
82,Phek,25.6667,94.5,45.61,97,0,0.87,IN,1610196943
83,Yaan,7.3833,8.5667,99.28,23,0,4.79,NG,1610196943
84,Vangaindrano,-23.35,47.6,82.58,73,37,10.09,MG,1610196682
85,Chui,-33.6971,-53.4616,74.59,51,0,5.12,UY,1610196945
86,Kavaratti,10.5669,72.642,83.08,74,100,6.22,IN,1610196945
87,Pacific Grove,36.6177,-121.9166,48.99,87,1,9.22,US,1610196946
88,Houlton,46.1262,-67.8403,24.8,74,90,8.05,US,1610196946
89,Nanortalik,60.1432,-45.2371,31.5,93,100,8.19,GL,1610196946
90,Ayorou,14.7308,0.9174,98.58,9,0,15.37,NE,1610196947
91,Westport,41.1415,-73.3579,26.01,58,1,11.5,US,1610196947
92,Manono,-7.3,27.4167,79.56,70,91,3.96,CD,1610196948
93,Tuktoyaktuk,69.4541,-133.0374,12.52,92,100,9.71,CA,1610196948
94,Ixtapa,20.7,-105.2,66.0,100,1,2.08,MX,1610196949
95,Puri,19.8,85.85,80.6,54,0,5.75,IN,1610196949
96,Bissau,11.8636,-15.5977,84.2,42,0,13.8,GW,1610196950
97,Vostok,46.4856,135.8833,-19.46,88,100,2.8,RU,1610196950
98,Allen,41.0706,-85.0144,24.8,74,90,3.44,US,1610196863
99,Lagoa,39.05,-27.9833,55.99,60,100,8.16,PT,1610196951
100,Nikolskoye,59.7035,30.7861,12.0,85,20,4.47,RU,1610196951
101,Maningrida,-12.0667,134.2667,82.13,82,100,7.29,AU,1610196952
102,Yenagoa,4.9247,6.2642,88.59,62,43,4.12,NG,1610196952
103,La Ronge,55.1001,-105.2842,-2.2,84,0,3.27,CA,1610196953
104,Baykit,61.67,96.37,-5.53,84,100,2.08,RU,1610196953
105,Shelburne,44.0787,-80.2041,19.99,82,100,7.34,CA,1610196954
106,Sambava,-14.2667,50.1667,82.92,64,33,5.41,MG,1610196954
107,Agustin Codazzi,10.0341,-73.2361,79.07,60,99,1.03,CO,1610196675
108,Monrovia,6.3005,-10.7969,86.0,79,75,3.44,LR,1610196955
109,Talnakh,69.4865,88.3972,-21.62,86,30,1.16,RU,1610196668
110,Salalah,17.0151,54.0924,77.0,44,0,10.36,OM,1610196956
111,Thompson,55.7435,-97.8558,-0.4,85,90,2.98,CA,1610196956
112,Amahai,-3.3333,128.9167,82.99,87,100,1.95,ID,1610196680
113,Port Alfred,-33.5906,26.891,80.01,80,0,1.01,ZA,1610196957
114,Mossamedes,-15.1961,12.1522,72.43,71,100,6.2,AO,1610196957
115,Zhigalovo,54.8097,105.1578,-12.6,84,100,0.11,RU,1610196958
116,Upington,-28.4478,21.2561,98.6,25,40,6.91,ZA,1610196954
117,Kalmunai,7.4167,81.8167,74.48,95,100,6.6,LK,1610196959
118,Hong Kong,22.2855,114.1577,55.0,31,100,10.45,HK,1610196848
119,Odder,55.9731,10.153,34.0,88,70,3.2,DK,1610196960
120,New Norfolk,-42.7826,147.0587,61.0,62,100,2.28,AU,1610196960
121,Kumluca,36.3703,30.2869,62.78,70,100,4.0,TR,1610196961
122,Iqaluit,63.7506,-68.5145,6.8,85,90,11.5,CA,1610196961
123,Nur-Sultan,51.1801,71.446,-4.0,77,0,15.66,KZ,1610196962
124,Avarua,-21.2078,-159.775,78.8,78,40,6.91,CK,1610196962
125,Rio Tuba,8.5061,117.4317,81.01,82,100,13.04,PH,1610196963
126,Dingle,10.9995,122.6711,75.13,90,100,12.5,PH,1610196963
127,Arraial do Cabo,-22.9661,-42.0278,82.4,78,75,4.61,BR,1610196963
128,Egvekinot,66.3167,-179.1667,-19.86,86,74,9.75,RU,1610196964
129,Malatya Province,38.5,38.0,35.6,80,90,1.14,TR,1610196964
130,Bambous Virieux,-20.3428,57.7575,82.99,83,75,8.05,MU,1610196965
131,Ola,59.5833,151.2833,-1.01,84,100,8.9,RU,1610196965
132,Jérémie,18.65,-74.1167,76.95,72,84,1.43,HT,1610196966
133,Cururupu,-1.8283,-44.8683,87.24,58,91,7.78,BR,1610196966
134,Mount Vernon,40.9126,-73.8371,28.4,54,40,10.36,US,1610196967
135,Carnarvon,-24.8667,113.6333,84.2,61,23,26.46,AU,1610196901
136,Kiruna,67.8557,20.2251,8.6,92,90,3.44,SE,1610196778
137,Codrington,-38.2667,141.9667,58.35,82,94,7.09,AU,1610196968
138,Itapecerica,-20.4725,-45.1256,77.14,80,39,3.36,BR,1610196969
139,Ostrovnoy,68.0531,39.5131,7.54,92,88,7.96,RU,1610196969
140,Meiringen,46.7268,8.184,28.4,69,42,20.71,CH,1610196970
141,Aswān,24.0934,32.907,83.12,15,0,10.94,EG,1610196970
142,Ambon City,-3.6954,128.1814,82.99,87,100,2.75,ID,1610196971
143,Ustka,54.5805,16.8619,36.36,93,98,8.12,PL,1610196971
144,Nānākuli,21.3906,-158.1547,69.01,88,1,3.44,US,1610196972
145,Dolzhanskaya,46.6311,37.8039,34.0,53,100,8.01,RU,1610196972
146,Matara,5.9485,80.5353,76.66,87,100,3.65,LK,1610196973
147,Sibu,2.3,111.8167,77.0,100,40,3.44,MY,1610196974
148,Seymchan,62.8833,152.4333,-29.24,83,80,1.39,RU,1610196974
149,Manokwari,-0.8667,134.0833,80.33,79,94,6.42,ID,1610196974
150,Ugoofaaru,5.6667,73.0,82.78,68,100,2.95,MV,1610196975
151,Port Hedland,-20.3167,118.5667,91.4,55,100,11.5,AU,1610196975
152,Caravelas,-17.7125,-39.2481,85.73,60,0,11.43,BR,1610196976
153,Itoman,26.1247,127.6694,53.6,58,75,23.02,JP,1610196952
154,Souillac,-20.5167,57.5167,82.4,83,75,8.05,MU,1610196977
155,Ribeira Grande,38.5167,-28.7,59.0,58,75,9.22,PT,1610196977
156,Vila do Maio,15.1333,-23.2167,77.0,61,75,26.46,CV,1610196977
157,Ballia,25.7557,84.1503,69.6,53,71,8.66,IN,1610196978
158,Cherskiy,68.75,161.3,-28.66,85,56,0.87,RU,1610196978
159,Ban Dung,17.699,103.2596,66.99,58,0,2.89,TH,1610196979
160,Kalakamati,-20.5929,27.3121,87.8,48,75,11.5,BW,1610196980
161,Klamath Falls,42.2249,-121.7817,26.6,93,90,4.61,US,1610196981
162,Yangi Marg`ilon,40.4272,71.7189,26.6,63,0,2.3,UZ,1610196981
163,High Prairie,55.4334,-116.4858,12.2,79,98,12.66,CA,1610196981
164,Cabo San Lucas,22.8909,-109.9124,63.55,60,0,5.37,MX,1610196983
165,Bethel,41.3712,-73.414,21.99,63,1,5.75,US,1610196983
166,Antibes,43.5624,7.1278,51.8,50,75,24.16,FR,1610196984
167,Hithadhoo,-0.6,73.0833,81.66,74,100,10.2,MV,1610196984
168,Pangnirtung,66.1451,-65.7125,8.08,78,100,0.09,CA,1610196984
169,Marystown,47.1666,-55.1483,37.04,86,100,18.37,CA,1610196985
170,Departamento de Maldonado,-34.6667,-54.9167,71.01,77,75,3.44,UY,1610196985
171,Acajutla,13.5928,-89.8275,75.22,68,79,5.75,SV,1610196986
172,Kavieng,-2.5744,150.7967,82.83,75,100,9.55,PG,1610196986
173,Cayenne,4.9333,-52.3333,80.6,89,90,4.61,GF,1610196987
174,Mogadishu,2.0371,45.3438,81.21,60,0,24.74,SO,1610196987
175,Maués,-3.3836,-57.7186,82.99,71,85,2.95,BR,1610196987
176,Paamiut,61.994,-49.6678,33.17,84,100,2.82,GL,1610196988
177,Rio Grande,-32.035,-52.0986,78.8,73,75,2.3,BR,1610196988
178,Saint George,37.1041,-113.5841,26.6,50,1,5.75,US,1610196892
179,Isangel,-19.55,169.2667,79.99,85,100,7.7,VU,1610196989
180,Kampot,10.6167,104.1833,78.8,69,20,4.61,KH,1610196990
181,Broome,42.2506,-75.833,17.01,79,1,12.66,US,1610196990
182,Severo-Kuril'sk,50.6789,156.125,21.45,88,85,11.36,RU,1610196990
183,Chapais,49.7834,-74.8492,10.4,100,90,2.3,CA,1610196991
184,Provideniya,64.3833,-173.3,-7.56,84,0,6.31,RU,1610196991
185,San Patricio,28.017,-97.5169,41.0,87,20,10.36,US,1610196992
186,Grindavik,63.8424,-22.4338,26.6,68,75,9.22,IS,1610196992
187,Chokurdakh,70.6333,147.9167,-23.8,88,100,3.04,RU,1610196992
188,Bukachacha,52.9833,116.9167,-8.59,85,7,3.04,RU,1610196993
189,Eilat,29.5581,34.9482,77.0,22,0,14.97,IL,1610196993
190,Kalabo,-14.97,22.6814,81.14,64,95,5.3,ZM,1610196994
191,Nizwá,22.9333,57.5333,66.88,24,0,5.75,OM,1610196994
192,Henties Bay,-22.116,14.2845,66.85,80,61,7.61,NA,1610196995
193,São Miguel do Araguaia,-13.275,-50.1628,86.25,64,34,4.03,BR,1610196995
194,Sioux Lookout,50.1001,-91.917,21.2,93,90,6.91,CA,1610196995
195,Kumul,42.8,93.45,14.86,85,100,4.76,CN,1610196996
196,Bereda,43.2686,-7.5406,42.01,84,58,14.0,ES,1610196996
197,Marawi,7.9986,124.2928,77.0,90,100,5.99,PH,1610196997
198,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-2.2,84,0,4.47,RU,1610196997
199,Lao Cai,22.4833,103.95,51.06,47,93,0.89,VN,1610196976
200,Norfolk,42.1668,-71.2495,24.8,54,1,4.61,US,1610196998
201,Carupano,10.6678,-63.2585,79.25,79,2,8.1,VE,1610196998
202,Biak,-0.9131,122.8766,78.13,81,65,3.4,ID,1610196999
203,Olinda,-8.0089,-34.8553,82.4,61,20,9.22,BR,1610196999
204,Saldanha,-33.0117,17.9442,77.0,53,0,14.97,ZA,1610197000
205,Mount Isa,-20.7333,139.5,87.8,20,2,10.36,AU,1610197000
206,Qinzhou,21.95,108.6167,46.87,43,99,9.46,CN,1610197001
207,Ust-Maya,60.4167,134.5333,-33.18,83,100,1.66,RU,1610197001
208,George Town,5.4112,100.3354,84.0,74,20,5.75,MY,1610196752
209,Aldergrove,49.058,-122.4709,36.0,93,90,2.3,CA,1610197002
210,Fresno,36.6666,-119.8343,46.4,93,90,4.61,US,1610197003
211,Pudozh,61.8099,36.5345,-10.03,90,0,5.14,RU,1610197003
212,Buala,-8.145,159.5921,81.7,74,89,5.21,SB,1610197003
213,North Bend,43.4065,-124.2243,43.0,93,1,10.36,US,1610197004
214,Kenai,60.5544,-151.2583,30.0,80,75,3.44,US,1610197004
215,Buraidah,26.326,43.975,64.4,88,75,5.75,SA,1610196928
216,Tapes,-30.6733,-51.3958,85.03,47,0,0.76,BR,1610197005
217,Bitung,1.4451,125.1824,77.0,94,20,2.3,ID,1610197005
218,Teahupoo,-17.8333,-149.2667,75.2,78,20,4.61,PF,1610197006
219,Mehamn,71.0357,27.8492,14.9,93,26,14.5,NO,1610197006
220,Lompoc,34.6391,-120.4579,53.01,93,1,8.05,US,1610197007
221,Tabas,33.5959,56.9244,59.0,15,0,5.53,IR,1610197007
222,Ferme-Neuve,46.7001,-75.4493,6.8,85,75,5.95,CA,1610197008
223,Lakes Entrance,-37.8811,147.981,66.0,86,0,3.44,AU,1610197008
224,São Gabriel da Cachoeira,-0.1303,-67.0892,71.6,100,20,2.13,BR,1610197008
225,Husavik,66.0449,-17.3389,23.0,86,90,14.97,IS,1610197009
226,Baruun-Urt,46.6806,113.2792,-2.88,87,0,8.05,MN,1610197009
227,Hamilton,39.1834,-84.5333,30.2,69,90,4.61,US,1610197010
228,Torbay,47.6666,-52.7314,37.0,93,90,21.85,CA,1610197010
229,Venado Tuerto,-33.7456,-61.9688,77.0,38,0,5.01,AR,1610197011
230,Port-Gentil,-0.7193,8.7815,87.8,74,40,11.5,GA,1610197005
231,Muzhi,65.3667,64.6667,-5.91,92,90,5.88,RU,1610197011
232,Griffith,41.5284,-87.4237,28.99,80,90,6.91,US,1610197012
233,Bara,10.3744,10.7288,97.07,10,3,13.0,NG,1610197012
234,Nemuro,43.3236,145.575,21.13,88,0,15.82,JP,1610196966
235,Callaway,30.153,-85.5699,41.0,75,90,8.05,US,1610197014
236,Guerrero Negro,27.9769,-114.0611,55.74,85,0,7.2,MX,1610197014
237,Kalamare,-22.9337,26.5703,86.59,35,100,9.04,BW,1610197014
238,Omsukchan,62.5333,155.8,-20.9,83,87,4.52,RU,1610197015
239,Ucluelet,48.9329,-125.5528,41.0,89,100,1.99,CA,1610197015
240,Villazón,-22.0866,-65.5942,55.35,58,46,2.01,BO,1610197016
241,Lüderitz,-26.6481,15.1594,75.4,52,48,28.9,NA,1610197016
242,Shuyskoye,59.3736,41.0305,4.6,94,100,6.02,RU,1610197018
243,Kafue,-15.7691,28.1814,78.8,61,75,4.61,ZM,1610197018
244,Tombouctou,20.0,-3.0,95.29,9,0,13.04,ML,1610197019
245,Flinders,-34.5833,150.8552,62.6,88,0,3.44,AU,1610197020
246,Kaitangata,-46.2817,169.8464,52.0,80,91,4.0,NZ,1610197020
247,Gornyy,55.1153,83.9059,-7.58,89,100,18.34,RU,1610197021
248,Loukhi,66.0764,33.0381,1.35,94,90,4.63,RU,1610197021
249,Safford,32.834,-109.7076,45.0,37,1,4.61,US,1610197022
250,Wynyard,-41.0,145.7167,61.0,57,83,8.01,AU,1610197022
251,Auki,-8.7676,160.7034,78.46,79,76,4.23,SB,1610197023
252,Ulaangom,49.9811,92.0667,-29.15,83,84,1.77,MN,1610197023
253,Paiçandu,-23.4575,-52.0486,78.89,76,6,4.21,BR,1610197024
254,San Quintín,30.4833,-115.95,54.01,80,0,4.92,MX,1610197024
255,High Rock,26.6208,-78.2833,62.6,59,75,17.27,BS,1610197026
256,Sabang,5.8933,95.3214,81.66,79,100,19.69,ID,1610197026
257,Krasnosel'kup,65.7,82.4667,-14.1,89,89,4.12,RU,1610197027
258,Zhezkazgan,47.8043,67.7144,-8.45,87,98,6.96,KZ,1610197027
259,College,64.8569,-147.8028,-2.2,77,20,4.61,US,1610197028
260,Darhan,49.4867,105.9228,-4.67,84,89,6.38,MN,1610196917
261,Jacareacanga,-6.2222,-57.7528,84.33,65,99,2.53,BR,1610197029
262,Sørland,67.667,12.6934,33.8,64,75,17.27,NO,1610197029
263,Castelo Branco,39.8222,-7.4909,39.0,67,100,4.0,PT,1610196981
264,Bāfq,31.6128,55.4107,48.25,40,0,2.82,IR,1610197030
265,Karasjok,69.4719,25.5112,14.0,73,20,25.32,NO,1610197030
266,Cidreira,-30.1811,-50.2056,82.67,45,0,3.44,BR,1610197031
267,Ürümqi,43.801,87.6005,1.4,78,98,4.47,CN,1610196954
268,Golden,39.7555,-105.2211,28.99,86,90,9.22,US,1610197032
269,Dauphin,51.1494,-100.0502,20.62,86,0,10.96,CA,1610197032
270,San Miguel de Tucumán,-26.8241,-65.2226,66.2,94,90,6.91,AR,1610197032
271,Trincomalee,8.5711,81.2335,76.03,90,100,4.16,LK,1610197033
272,Vágur,61.4732,-6.8119,33.03,91,100,28.97,FO,1610197033
273,Beya,53.0533,90.9139,7.66,82,99,10.83,RU,1610197034
274,Merauke,-8.4667,140.3333,82.65,77,100,3.69,ID,1610197034
275,Roccastrada,43.0099,11.1665,44.6,76,40,10.36,IT,1610197034
276,Tirumullaivāsal,11.2333,79.8333,77.95,86,98,10.78,IN,1610196741
277,Bathsheba,13.2167,-59.5167,80.6,78,40,19.57,BB,1610197035
278,Le Vauclin,14.5452,-60.8388,80.6,78,40,12.66,MQ,1610197036
279,Ponta do Sol,32.6667,-17.1,57.0,70,59,3.0,PT,1610197036
280,Ibanda,-2.7974,32.4746,71.6,78,75,11.5,TZ,1610197037
281,Ancud,-41.8697,-73.8203,57.0,93,20,13.8,CL,1610197037
282,Tapejara,-28.0681,-52.0139,76.28,73,0,7.4,BR,1610197038
283,Le Port,-20.9373,55.2919,84.2,61,75,18.41,RE,1610197039
284,Tambopata,-12.7333,-69.1833,75.88,91,99,2.77,PE,1610197040
285,Halifax,44.6453,-63.5724,26.6,74,12,4.61,CA,1610196964
286,Zhangjiakou,40.81,114.8794,8.62,80,6,9.37,CN,1610197040
287,Jijiga,9.35,42.8,73.96,29,0,12.24,ET,1610197041
288,São Filipe,14.8961,-24.4956,74.37,71,1,13.89,CV,1610197041
289,Agadez,19.75,10.25,87.12,12,0,9.64,NE,1610197042
290,Gazojak,41.1875,61.4036,32.58,77,0,12.26,TM,1610197042
291,Dabakala,8.3667,-4.4333,105.21,24,31,1.19,CI,1610197043
292,Padang,-0.9492,100.3543,78.93,77,100,4.76,ID,1610196928
293,Karratha,-20.7377,116.8463,95.65,35,91,13.13,AU,1610197043
294,Tazovsky,67.4667,78.7,-7.74,92,91,4.7,RU,1610197044
295,Berlevåg,70.8578,29.0864,17.31,93,26,16.49,NO,1610197044
296,Gualaquiza,-3.4,-78.55,66.15,79,60,0.54,EC,1610197045
297,Kaputa,-8.4689,29.6619,76.33,68,100,6.02,ZM,1610197045
298,Mayo,38.8876,-76.5119,30.2,59,1,17.27,US,1610197046
299,Fukuechō,32.6881,128.8419,40.48,71,96,28.07,JP,1610197046
300,Aleksandrov Gay,50.147,48.5704,33.31,94,100,14.34,RU,1610197046
301,Fergus Falls,46.283,-96.0776,15.8,92,90,0.98,US,1610197047
302,Grand-Santi,4.25,-54.3833,81.55,71,51,5.12,GF,1610197048
303,Lerwick,60.1545,-1.1494,46.4,87,75,36.82,GB,1610197049
304,Tura,25.5198,90.2201,64.35,58,40,3.44,IN,1610197049
305,Port Macquarie,-31.4333,152.9167,66.0,96,56,3.04,AU,1610197050
306,Mauá,-23.6678,-46.4614,75.2,78,75,6.46,BR,1610197050
307,Sechura,-5.5569,-80.8222,72.09,74,13,9.15,PE,1610197051
308,Lata,40.1629,-8.3327,46.99,47,100,5.99,PT,1610197051
309,Kieta,-6.2167,155.6333,80.44,71,66,2.04,PG,1610197052
310,Khalkhāl,37.6189,48.5258,30.36,74,100,4.99,IR,1610197052
311,Laas,46.6166,10.7002,28.4,53,0,8.05,IT,1610196754
312,Gravdal,68.1214,13.5031,33.8,64,75,17.27,NO,1610197053
313,Ahipara,-35.1667,173.1667,62.76,92,7,6.04,NZ,1610197053
314,Palmer,42.1584,-72.3287,25.0,58,20,11.5,US,1610197054
315,Albanel,48.8832,-72.4487,14.0,67,29,9.22,CA,1610197054
316,Bowen,-20.0167,148.2333,77.0,83,75,12.66,AU,1610197054
317,Roura,4.7263,-52.3274,80.6,89,90,4.61,GF,1610197055
318,Warin Chamrap,15.1932,104.8628,69.8,60,0,9.22,TH,1610197056
319,Margate,51.3813,1.3862,39.0,90,21,3.0,GB,1610197057
320,Ronneby,56.21,15.276,35.6,93,75,5.75,SE,1610197057
321,Lhokseumawe,5.1801,97.1507,79.0,82,100,4.94,ID,1610197058
322,Poddor'ye,57.4695,31.1156,14.29,95,100,5.91,RU,1610197058
323,Oddur,4.1213,43.8894,89.26,21,0,17.45,SO,1610197058
324,Roncesvalles,4.0108,-75.6049,54.97,86,79,2.08,CO,1610197059
325,Labuhan,-6.8844,112.2051,79.34,81,100,9.22,ID,1610197059
326,Santa Cruz de la Sierra,-17.8,-63.1667,80.6,74,40,14.97,BO,1610197060
327,Galle,6.0367,80.217,77.61,85,100,3.06,LK,1610196903
328,Tuatapere,-46.1333,167.6833,54.0,84,90,5.01,NZ,1610197060
329,Město Albrechtice,50.1629,17.5748,32.0,94,44,0.27,CZ,1610197061
330,Kaniama,-7.5667,24.1833,73.74,77,100,5.46,CD,1610197061
331,Alice Springs,-23.7,133.8833,80.6,26,0,8.05,AU,1610197062
332,Isaszeg,47.5301,19.4021,39.99,100,90,2.3,HU,1610197062
333,Alofi,-19.0595,-169.9187,78.8,89,55,9.22,NU,1610197063
334,Saint-Augustin,51.226,-58.6502,33.57,91,100,15.39,CA,1610197063
335,Dombarovskiy,50.7587,59.5386,17.98,96,100,16.82,RU,1610197064
336,Levice,48.2156,18.6071,37.0,89,38,1.01,SK,1610197064
337,South Lake Tahoe,38.9332,-119.9844,27.0,93,1,3.44,US,1610197064
338,Aras,42.5617,-2.356,32.0,93,75,9.22,ES,1610197065
339,Lufkin,31.3382,-94.7291,30.2,100,1,3.42,US,1610197066
340,Nishihara,26.1842,127.7558,53.6,40,90,17.27,JP,1610196942
341,Verāval,20.9,70.3667,78.93,54,0,8.55,IN,1610197066
342,Teya,60.3778,92.6267,-9.42,86,100,8.61,RU,1610197067
343,Poum,-20.2333,164.0167,83.23,79,90,11.05,NC,1610197067
344,Adrar,20.5022,-10.0711,74.66,41,26,13.91,MR,1610196959
345,Sumter,28.7086,-82.0831,45.0,80,1,1.99,US,1610197068
346,Tabat,-2.635,115.2274,76.26,93,100,2.04,ID,1610197069
347,Herat Province,34.5,62.0,48.2,25,0,2.3,AF,1610197069
348,Yulara,-25.2406,130.9889,89.6,15,17,9.22,AU,1610197069
349,Maceió,-9.6658,-35.7353,86.0,58,40,1.14,BR,1610196794
350,Boyabat,41.4689,34.7667,57.99,53,100,2.71,TR,1610197070
351,Maţāy,28.419,30.7792,79.0,18,0,15.19,EG,1610197071
352,Pangai,-19.8,-174.35,80.6,100,40,10.36,TO,1610197071
353,Kimbe,-5.5502,150.1429,78.75,81,57,1.5,PG,1610197072
354,Hegang,47.4,130.3667,-8.14,85,98,7.2,CN,1610197072
355,Belyy Yar,53.6039,91.3903,-14.8,84,93,0.94,RU,1610197072
356,Trairi,-3.2778,-39.2689,86.49,58,100,14.18,BR,1610197073
